inst#     actual  predicted error prediction
      103        1:?    1:unacc       1 
      104        1:?    1:unacc       1 
      105        1:?    1:unacc       1 
      106        1:?    1:unacc       1 
      107        1:?    1:unacc       1 
      108        1:?      2:acc       0.857 
      109        1:?    1:unacc       1 
      110        1:?    1:unacc       1 
      111        1:?    1:unacc       1 
      112        1:?    1:unacc       1 
      113        1:?    1:unacc       1 
      114        1:?    1:unacc       0.714 
      115        1:?    1:unacc       1 
      116        1:?      2:acc       1 
      117        1:?    1:unacc       0.714 
      118        1:?    1:unacc       1 
      119        1:?      2:acc       1 
      120        1:?      2:acc       0.714 
      121        1:?    1:unacc       1 
      122        1:?      2:acc       1 
      123        1:?    1:unacc       1 
      124        1:?    1:unacc       1 
      125        1:?    1:unacc       1 
      126        1:?    1:unacc       1 
      127        1:?    1:unacc       1 
      128        1:?      2:acc       1 
      129        1:?    1:unacc       0.714 
      130        1:?    1:unacc       1 
      131        1:?      2:acc       1 
      132        1:?    1:unacc       1 
      133        1:?    1:unacc       1 
      134        1:?      2:acc       1 
      135        1:?      2:acc       1 
      136        1:?    1:unacc       1 
      137        1:?    1:unacc       1 
      138        1:?    1:unacc       1 
      139        1:?    1:unacc       1 
      140        1:?    1:unacc       1 
      141        1:?    1:unacc       0.714 
      142        1:?    1:unacc       1 
      143        1:?      2:acc       1 
      144        1:?    1:unacc       0.714 
      145        1:?    1:unacc       1 
      146        1:?      2:acc       1 
      147        1:?      2:acc       0.714 
      148        1:?    1:unacc       1 
      149        1:?      2:acc       1 
      150        1:?    1:unacc       1 
      151        1:?    1:unacc       1 
      152        1:?    1:unacc       1 
      153        1:?    1:unacc       1 
      154        1:?    1:unacc       1 
      155        1:?      2:acc       1 
      156        1:?    1:unacc       0.714 
      157        1:?    1:unacc       1 
      158        1:?      2:acc       1 
      159        1:?    1:unacc       1 
      160        1:?    1:unacc       1 
      161        1:?      2:acc       1 
      162        1:?      2:acc       1 
      163        1:?    1:unacc       1 
      164        1:?    1:unacc       1 
      165        1:?    1:unacc       1 
      166        1:?    1:unacc       1 
      167        1:?    1:unacc       1 
      168        1:?    1:unacc       0.714 
      169        1:?    1:unacc       1 
      170        1:?      2:acc       1 
      171        1:?    1:unacc       0.714 
      172        1:?    1:unacc       1 
      173        1:?      2:acc       1 
